  Measurement Number     Measurement type
                  16            NewRelaib

      Measurement ID                 Mode
       739694.776394                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -3             0.000101                  3.5             0.000101

           Rise time            Fall Time           Separation
               1e-06                1e-06               0.0001

              Cycles       Steps in cycle         Test voltage
                 500                10000                    1

      Step        LRS        HRS
      5961  1773.0738  56161.407
      5981  1850.6401 72384.9059
      6001  1762.1754 73083.0923
      6021  1766.3524 57237.8144
      6041  1703.2036  90899.658
      6061  2120.6094 71179.3805
      6081  1735.4146 71597.7977
      6101  1690.3338   75534.87
      6121  1630.4678 65076.3251
      6141  1716.1996 73753.7065
      6161  1783.4934 66014.0676
      6181  1783.5702 74013.7397
      6201   1941.056 59252.5297
      6221  1866.6888 62917.0951
      6241  1817.0379 58397.3539
      6261  1831.7532 81074.1184
      6281  1649.3106 63797.7847
      6301  1628.6105 82607.3588
      6321  1612.8418   86872.46
      6341  1700.0845 67636.8018
      6361  1627.9864 78521.4295
      6381  1591.1501  85367.919
      6401  1644.0148 76145.6977
      6421  1875.3061 88420.0193
      6441   1868.941  87707.258
      6461  1779.9567 60724.5406
      6481  1948.1022 63129.6772
      6501  1771.9565 80877.5216
      6521  1704.9407 69465.4993
      6541  1662.9275 83258.7681
      6561   1717.351 163447.8476
      6581  1779.1544 111602.7362
      6601  1782.6498 78543.8971
      6621  1670.7782 67510.1298
      6641  1716.9031 51707.0982
      6661  1684.8115 46998.2811
      6681  1585.1286 72393.7133
      6701  1420.5458 64433.6201
      6721  1350.3462 66423.2238
      6741  1372.3209 33503.7653
      6761  1482.7886 72908.4016
      6781  1428.2028 75978.7212
      6801   1561.791 95153.1948
      6821  1609.3187 69306.3106
      6841  1649.2611 53952.1734
      6861  1549.4834 49588.9786
      6881  1688.3434 86101.1505
      6901  1476.8584 73311.2954
      6921  1430.3444 69951.5954
      6941  1313.2163 107146.2612
      6961  1381.3645 73326.3612
      6981  1517.0758 88365.2916
      7001  1482.9814 142327.5397
      7021  1628.6737 78328.4067
      7041  1597.3898 117896.2864
      7061  1797.8767 81214.3412
      7081  1815.6964 65469.0977
      7101  1471.2224  64793.938
      7121  1857.5739 319634.5791
      7141  1660.6431 186951.6806
      7161  1881.7681 120450.9405
      7181  1880.4791 273884.9371
      7201  2092.3328 85062.6978
      7221  2174.3163 98853.7894
      7241  2067.4548 89039.9339
      7261  2067.5219 62370.5911
      7281  2133.7718 75541.2688
      7301  2086.2415 98276.6663
      7321  2003.9185 96418.0294
      7341   1971.133 99944.5604
      7361  1818.6473 103672.5656
      7381  2049.4012 51427.6736
      7401  2085.2371 70058.7081
      7421  2017.8303 115829.9451
      7441  2188.4418 85378.1291
      7461  2153.8552 51201.8907
      7481   2123.456 58369.6511
      7501  1891.0053 56647.2561
      7521  2591.9645 56786.0689
      7541  2652.1229 75458.2084
      7561  2175.0067 73191.0131
      7581  2427.1363 70308.5353
      7601  2654.5871  61629.548
      7621  2574.9496 55801.3663
      7641  2374.9055 54632.7527
      7661  1936.3764 90416.0274
      7681  2324.0787 71905.0737
      7701  2343.5686 56867.5094
      7721  2443.9457 64152.1597
      7741  2110.0396 53546.6046
      7761  2272.9459 50494.8061
      7781  2203.0757  37880.487
      7801   2272.461 46994.5689
      7821  2295.4356 33093.0412
      7841  2212.1106 44226.9952
      7861  2573.4698 41694.5577
      7881  2329.1434   61572.13
      7901  2548.2671 67542.0728
      7921  2256.7014 45774.5415
      7941  2268.9358 52204.8061
      7961  1853.8885 38521.2113
