Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,1.750,1.750,-0.200,-0.200,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.500,-1.500,-0.200,-0.200,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
20.0,20.0,1.0

Time,Voltage,Current
4.285e-06,-0.201839,0.000101062
4.295e-06,-0.202559,0.00010102
4.305e-06,-0.201119,0.000101006
4.315e-06,-0.203279,0.000101097
4.325e-06,-0.203999,0.000101187
4.335e-06,-0.203279,0.000101271
4.345e-06,-0.204719,0.000101271
4.355e-06,-0.203999,0.00010118
4.365e-06,-0.203999,0.000101173
4.375e-06,-0.201839,0.000101152
4.385e-06,-0.202559,0.00010125
4.395e-06,-0.203279,0.000101284
4.405e-06,-0.198958,0.000101305
4.415e-06,-0.203999,0.000101361
4.425e-06,-0.203999,0.000101382
4.435e-06,-0.202559,0.000101403
4.445e-06,-0.203279,0.000101424
4.455e-06,-0.202559,0.000101444
4.465e-06,-0.201839,0.0001015
4.475e-06,-0.205439,0.000101583
4.485e-06,-0.201119,0.000101583
4.495e-06,-0.205439,0.000101577
4.505e-06,-0.203279,0.000101556
4.515e-06,-0.202559,0.000101549
4.525e-06,-0.203279,0.000101583
4.535e-06,-0.205439,0.000101514
4.545e-06,-0.203279,0.000101486
4.555e-06,-0.201119,0.000101479
4.565e-06,-0.206159,0.000101458
4.575e-06,-0.201119,0.000101375
4.585e-06,-0.203999,0.00010134
4.595e-06,-0.202559,0.000101298
4.605e-06,-0.199679,0.000101277
4.615e-06,-0.202559,0.000101284
4.625e-06,-0.201839,0.000101208
4.635e-06,-0.203999,0.000101208
4.645e-06,-0.201839,0.000101215
4.655e-06,-0.200399,0.000101145
4.665e-06,-0.205439,0.000101083
4.675e-06,-0.201119,0.000101041
4.685e-06,-0.201839,0.00010102
4.695e-06,-0.201119,0.000101048
4.705e-06,-0.202559,0.000101006
4.715e-06,-0.205439,0.000101027
4.725e-06,-0.200399,0.000101097
4.735e-06,-0.203999,0.000101159
4.745e-06,-0.200399,0.00010125
4.755e-06,-0.205439,0.00010125
4.765e-06,-0.201839,0.000101159
4.775e-06,-0.201119,0.000101257
4.785e-06,-0.205439,0.000101257
4.795e-06,-0.203999,0.000101215
4.805e-06,-0.202559,0.000101271
4.815e-06,-0.203279,0.000101319
4.825e-06,-0.203279,0.000101326
4.835e-06,-0.203279,0.000101424
4.845e-06,-0.201839,0.000101507
4.855e-06,-0.201839,0.000101528
4.865e-06,-0.204719,0.000101493
4.875e-06,-0.203999,0.000101521
4.885e-06,-0.201119,0.000101563
4.895e-06,-0.201119,0.000101542
4.905e-06,-0.201839,0.000101549
4.915e-06,-0.203999,0.000101563
4.925e-06,-0.204719,0.000101542
4.935e-06,-0.201119,0.000101514
4.945e-06,-0.201839,0.000101521
4.955e-06,-0.201119,0.000101514
4.965e-06,-0.202559,0.000101528
4.975e-06,-0.200399,0.000101597
4.985e-06,-0.203279,0.000101625
4.995e-06,-0.199679,0.000101604
5.005e-06,-0.203999,0.000101632
5.015e-06,-0.204719,0.000101597
5.025e-06,-0.202559,0.000101563
5.035e-06,-0.200399,0.000101577
5.045e-06,-0.204719,0.000101604
5.055e-06,-0.201119,0.000101563
5.065e-06,-0.203279,0.000101521
5.075e-06,-0.203999,0.000101549
5.085e-06,-0.202559,0.000101542
5.095e-06,-0.201839,0.000101542
5.105e-06,-0.203279,0.000101486
5.115e-06,-0.203279,0.000101444
5.125e-06,-0.202559,0.000101479
5.135e-06,-0.200399,0.000101514
5.145e-06,-0.202559,0.000101514
5.155e-06,-0.202559,0.000101521
5.165e-06,-0.203999,0.000101437
5.175e-06,-0.203999,0.000101298
5.185e-06,-0.204719,0.000101291
5.195e-06,-0.203999,0.000101257
5.205e-06,-0.203279,0.000101187
5.215e-06,-0.202559,0.000101131
5.225e-06,-0.204719,0.000101222
5.235e-06,-0.201839,0.00010134
5.245e-06,-0.204719,0.000101382
5.255e-06,-0.202559,0.000101396
5.265e-06,-0.204719,0.000101479
5.275e-06,-0.202559,0.000101597
5.285e-06,-0.203999,0.000101695
5.295e-06,-0.201119,0.000101632
5.305e-06,-0.204719,0.000101528
5.315e-06,-0.199679,0.000101542
5.325e-06,-0.203999,0.000101709
5.335e-06,-0.202559,0.000101736
5.345e-06,-0.200399,0.000101639
5.355e-06,-0.201119,0.00010157
5.365e-06,-0.190318,0.000101583
5.375e-06,-0.170156,0.000101291
5.385e-06,-0.147115,9.95945e-05
5.395e-06,-0.129114,9.59017e-05
5.405e-06,-0.108232,8.99766e-05
5.415e-06,-0.0880706,8.17982e-05
5.425e-06,-0.0707894,7.14292e-05
5.435e-06,-0.0463076,5.89947e-05
5.445e-06,-0.0275863,4.47869e-05
5.455e-06,-0.00742483,2.89239e-05
5.465e-06,-0.00166442,1.17813e-05
5.475e-06,-0.00238447,-6.18892e-06
5.485e-06,0.000495731,-2.3874e-05
5.495e-06,-0.00238447,-4.05367e-05
5.505e-06,0.00337594,-5.59268e-05
5.515e-06,-0.000944372,-6.96826e-05
5.525e-06,0.000495731,-8.16025e-05
5.535e-06,0.000495731,-9.1902e-05
5.545e-06,-0.00166442,-0.000100831
5.555e-06,-0.00238447,-0.000108488
5.565e-06,0.000495731,-0.000112967
5.575e-06,-0.000224321,-0.000112967
5.585e-06,0.000495731,-0.000112967
5.595e-06,0.00121578,-0.000112967
5.605e-06,-0.00166442,-0.000112967
5.615e-06,-0.000224321,-0.000112967
5.625e-06,0.000495731,-0.000112967
5.635e-06,0.000495731,-0.000112967
5.645e-06,0.00265588,-0.000112967
5.655e-06,0.0141767,-0.000112967
5.665e-06,0.125785,-0.000112967
5.675e-06,0.296437,-0.000112967
5.685e-06,0.472849,-0.000112967
5.695e-06,0.642061,-0.000112967
5.705e-06,0.813434,-0.000112967
5.715e-06,0.997767,-0.000112967
5.725e-06,1.18138,-0.000112967
5.735e-06,1.35563,-0.000112967
5.745e-06,1.53276,-0.000112967
5.755e-06,1.6955,-0.000112967
5.765e-06,1.75742,-0.000112967
5.775e-06,1.76462,-0.000112967
5.785e-06,1.76606,-0.000112967
5.795e-06,1.77542,-0.000112967
5.805e-06,1.76606,-0.000112967
5.815e-06,1.64077,-0.000112967
5.825e-06,1.43844,-0.000112967
5.835e-06,1.24258,-0.000112967
5.845e-06,1.05393,-0.000112967
5.855e-06,0.857357,-0.000112967
5.865e-06,0.653582,-0.000112967
5.875e-06,0.454128,-0.000112967
5.885e-06,0.253954,-0.000112967
5.895e-06,0.0559397,-0.000112967
5.905e-06,-0.124073,-0.000112967
5.915e-06,-0.196798,-0.000112967
5.925e-06,-0.201119,-0.000112967
5.935e-06,-0.195358,-0.000112967
5.945e-06,-0.205439,-0.000112967
5.955e-06,-0.212639,-0.000112967
5.965e-06,-0.209759,-0.000112967
5.975e-06,-0.201839,-0.000112967
5.985e-06,-0.198958,-0.000112967
5.995e-06,-0.198238,-0.000112967
6.005e-06,-0.201839,-0.000112967
6.015e-06,-0.198238,-0.000112967
6.025e-06,-0.198238,-0.000112967
6.035e-06,-0.201119,-0.000112967
6.045e-06,-0.197518,-0.000112967
6.055e-06,-0.196798,-0.000112967
6.065e-06,-0.197518,-0.000106423
6.075e-06,-0.199679,8.00874e-05
6.085e-06,-0.199679,0.000113928
6.095e-06,-0.199679,0.000113928
6.105e-06,-0.201119,0.000113928
6.115e-06,-0.201119,0.000113928
6.125e-06,-0.203279,0.000113928
6.135e-06,-0.199679,0.000113928
6.145e-06,-0.200399,0.000113928
6.155e-06,-0.198958,0.000113928
6.165e-06,-0.199679,0.000113928
6.175e-06,-0.201119,0.000113928
6.185e-06,-0.201839,0.000113928
6.195e-06,-0.201119,0.000113928
6.205e-06,-0.200399,0.000113928
6.215e-06,-0.201839,0.000113928
6.225e-06,-0.200399,0.000113928
6.235e-06,-0.202559,0.000113928
6.245e-06,-0.199679,0.000113928
6.255e-06,-0.199679,0.000113928
6.265e-06,-0.201119,0.000113928
6.275e-06,-0.199679,0.000113928
6.285e-06,-0.199679,0.000113928
6.295e-06,-0.202559,0.000113928
6.305e-06,-0.202559,0.000113928
6.315e-06,-0.201119,0.000113928
6.325e-06,-0.199679,0.000113928
6.335e-06,-0.199679,0.000113928
6.345e-06,-0.201119,0.000113928
6.355e-06,-0.201119,0.000113928
6.365e-06,-0.200399,0.000113928
6.375e-06,-0.201119,0.000113928
6.385e-06,-0.203279,0.000113928
6.395e-06,-0.200399,0.000113928
6.405e-06,-0.201839,0.000113928
6.415e-06,-0.201839,0.000113928
6.425e-06,-0.202559,0.000113928
6.435e-06,-0.201119,0.000113928
6.445e-06,-0.199679,0.000113928
