  Measurement Number     Measurement type
                 122            NewRelaib

      Measurement ID                 Mode
       739694.759930                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                -2.5              0.00101                    3              0.00101

           Rise time            Fall Time           Separation
               1e-05                1e-05                0.001

              Cycles       Steps in cycle         Test voltage
                 554                10000                   10

      Step        LRS        HRS
     18730  1956.0634  3960.6905
     18790  1787.9732  5885.5221
     18850  1818.8142  5591.6396
     18910  1872.8811  6425.9935
     18970  1723.6626  5700.0672
     19030  1826.1621  6191.4025
     19090  1668.4308  6108.5984
     19150  1677.6356  7254.7564
     19210  1833.5768  7686.4843
     19270  1827.3066  7512.8185
     19330  1700.2993  6833.6257
     19390  1868.5612  6991.8657
     19450  1798.8369  6287.7028
     19510  1708.6954  5464.0267
     19570  1839.6646  5776.4703
     19630  1971.0074   6494.684
     19690  2103.2711  5669.9398
     19750  2035.5863  6564.9411
     19810  1764.2759  6327.3871
     19870  1630.9474  6772.1766
     19930  1544.7037  6109.0121
     19990  1705.1981  6284.8776
     20050  1934.3293  6902.4725
     20110  2197.8246  7459.3363
     20170  2376.6202  7375.1966
     20230  1535.3379  6865.4416
     20290  1592.2725  6812.4173
     20350  1316.6423  8085.2434
     20410  1410.5551  9582.0707
     20470  1012.6532  8093.8034
     20530  1642.9195  8553.3712
     20590  1529.4614  6713.1448
     20650  1694.4505  7835.6122
     20710  1511.1886  7705.8245
     20770  1523.2376  7264.4229
     20830  1434.5757  5725.1459
     20890  1532.7185  5726.0473
     20950  1373.2568  6369.5433
     21010  1330.7768  6924.0645
     21070  1403.6219  5947.9334
     21130    1161.39  9940.6109
     21190  1392.4877  8045.3074
     21250  1235.8119  7658.0056
     21310  1192.2836  6178.6503
     21370  1259.4686  8121.6226
     21430  1186.9392  7285.1515
     21490  1059.8368  8718.3563
     21550  1133.7503  8050.3997
     21610  1223.0463  9239.5387
     21670  1231.0658  6402.9795
     21730  1169.3809  5904.3942
     21790  1175.5597  5744.5228
     21850  1083.4806  6549.5782
