
Time,Voltage,Current
8.2895e-05,-0.00249072,-1.68048e-06
8.2905e-05,-0.00319486,-2.31466e-06
8.2915e-05,-0.00178659,-2.66699e-06
8.2925e-05,-0.00178659,-3.30118e-06
8.2935e-05,-0.00178659,-2.66699e-06
8.2945e-05,0.00102996,-2.31466e-06
8.2955e-05,-0.000378314,-1.32815e-06
8.2965e-05,-0.00178659,-1.11676e-06
8.2975e-05,-0.00108245,-1.04629e-06
8.2985e-05,0.000325823,-1.25769e-06
8.2995e-05,0.00102996,-1.68048e-06
8.3005e-05,0.0017341,-2.10327e-06
8.3015e-05,0.000325823,-2.31466e-06
8.3025e-05,0.00243823,-2.87839e-06
8.3035e-05,-0.00108245,-3.23071e-06
8.3045e-05,-0.00178659,-3.08978e-06
8.3055e-05,0.0017341,-2.52606e-06
8.3065e-05,0.000325823,-2.38513e-06
8.3075e-05,0.000325823,-2.17373e-06
8.3085e-05,-0.000378314,-1.96234e-06
8.3095e-05,-0.000378314,-9.75826e-07
8.3105e-05,-0.00178659,-4.8257e-07
8.3115e-05,0.0017341,-6.235e-07
8.3125e-05,0.00102996,-1.04629e-06
8.3135e-05,-0.000378314,-1.25769e-06
8.3145e-05,0.0017341,-1.61001e-06
8.3155e-05,-0.00108245,-9.05361e-07
8.3165e-05,0.00102996,-4.12105e-07
8.3175e-05,-0.000378314,-4.12105e-07
8.3185e-05,-0.000378314,-8.34896e-07
8.3195e-05,0.000325823,-1.32815e-06
8.3205e-05,0.00243823,-2.31466e-06
8.3215e-05,0.0017341,-3.23071e-06
8.3225e-05,-0.00108245,-3.44211e-06
8.3235e-05,0.000325823,-3.08978e-06
8.3245e-05,0.000325823,-2.73746e-06
8.3255e-05,0.00102996,-2.10327e-06
8.3265e-05,0.000325823,-2.2442e-06
8.3275e-05,0.000325823,-1.18722e-06
8.3285e-05,0.00102996,-1.18722e-06
8.3295e-05,-0.003899,-1.25769e-06
8.3305e-05,0.000325823,-1.61001e-06
8.3315e-05,0.00102996,-2.10327e-06
8.3325e-05,0.0017341,-1.82141e-06
8.3335e-05,-0.000378314,-1.61001e-06
8.3345e-05,0.00243823,-2.0328e-06
8.3355e-05,0.00102996,-2.38513e-06
8.3365e-05,-0.000378314,-1.39862e-06
8.3375e-05,0.00314237,-9.75826e-07
8.3385e-05,-0.00108245,-2.00709e-07
8.3395e-05,0.00243823,-7.64431e-07
8.3405e-05,0.00102996,-1.04629e-06
8.3415e-05,-0.000378314,-3.41639e-07
8.3425e-05,0.0017341,-1.04629e-06
8.3435e-05,0.0017341,-1.46908e-06
8.3445e-05,-0.00178659,-1.82141e-06
8.3455e-05,0.00102996,-1.96234e-06
8.3465e-05,-0.00178659,-1.89187e-06
8.3475e-05,-0.000378314,-1.68048e-06
