Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,2.000e-07,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,2.050,2.050,-0.500,-0.500,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,2.000e-07,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.800,-1.800,-0.500,-0.500,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
20.0,20.0,2.0

Time,Voltage,Current
1.183e-05,1.51008,-0.00114348
1.185e-05,1.01181,-0.00110088
1.187e-05,0.493731,-0.000246491
1.189e-05,-0.024346,0.000944431
1.191e-05,-0.437656,0.00115339
1.193e-05,-0.49778,0.00115339
1.195e-05,-0.520101,0.00115339
1.197e-05,-0.517221,0.00115339
1.199e-05,-0.50678,0.00115339
1.201e-05,-0.510021,0.00115339
1.203e-05,-0.510741,0.00115339
1.205e-05,-0.50786,0.00104786
1.207e-05,-0.5075,0.000684957
1.209e-05,-0.508221,0.000440056
1.211e-05,-0.50606,0.00030238
1.213e-05,-0.50462,0.000242079
1.215e-05,-0.5057,0.000235496
1.217e-05,-0.5039,0.000251795
1.219e-05,-0.5057,0.000279358
1.221e-05,-0.50642,0.000308364
1.223e-05,-0.5057,0.000331246
1.225e-05,-0.50678,0.000347157
1.227e-05,-0.50534,0.000355887
1.229e-05,-0.50678,0.000358739
1.231e-05,-0.50678,0.00035814
1.233e-05,-0.508581,0.000355571
1.235e-05,-0.508221,0.000351346
1.237e-05,-0.509661,0.000346911
1.239e-05,-0.508941,0.000344235
1.241e-05,-0.508941,0.000342335
1.243e-05,-0.50714,0.000341384
1.245e-05,-0.510021,0.000339272
1.247e-05,-0.510381,0.00033811
1.249e-05,-0.50714,0.000337653
1.251e-05,-0.50786,0.000336843
1.253e-05,-0.508221,0.000336385
1.255e-05,-0.50678,0.000335576
1.257e-05,-0.508581,0.000335329
1.259e-05,-0.50786,0.000335963
1.261e-05,-0.50606,0.000334977
1.263e-05,-0.509301,0.000334414
1.265e-05,-0.510741,0.000333992
1.267e-05,-0.510021,0.000333147
1.269e-05,-0.510741,0.000333358
1.271e-05,-0.508941,0.000334203
1.273e-05,-0.510021,0.000332408
1.275e-05,-0.510741,0.000331668
1.277e-05,-0.511461,0.000331668
1.279e-05,-0.510021,0.00033107
1.281e-05,-0.510381,0.000331563
1.283e-05,-0.510021,0.000330718
1.285e-05,-0.511461,0.000331351
1.287e-05,-0.50786,0.000330436
1.289e-05,-0.508581,0.000330612
1.291e-05,-0.508581,0.000330507
1.293e-05,-0.508941,0.000330084
1.295e-05,-0.509661,0.000329134
1.297e-05,-0.510021,0.000330049
1.299e-05,-0.510021,0.000329556
1.301e-05,-0.509661,0.000328923
1.303e-05,-0.509301,0.000329943
1.305e-05,-0.509661,0.000329908
1.307e-05,-0.509661,0.000329662
1.309e-05,-0.508941,0.000330084
1.311e-05,-0.509301,0.000329662
1.313e-05,-0.508581,0.000330366
